Academic_Year,AOS_Code,Course,Stage_Code,Course_Stage,Mode_Group,Level_Group,School,Fees_Status,Gender,White_BME,Ethnicity_Group,Disability_Description,Disability_YN,Age at Start,Age,Reason_for_Leaving,Date_Left,Enrolments,Withdrawals
2017,PMSCADVPP,MSc Advanced Professional Practice,ICAL,1,Part-time,Postgraduate,School of Health,Home/EU,Female,White,White,No Disability,No,30,Mature,,,1,
2017,CBSCMHNUR,BSc Mental Health Nursing,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,28,Mature,,,1,
2017,CBSCOCCTH,BSc Occupational Therapy,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Mixed,"A specific learning difficulty such as dyslexia, dyspraxia or AD(H)D",Yes,37,Mature,,,1,
2017,CBSCOCCTH,BSc Occupational Therapy,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Male,White,White,No Disability,No,27,Mature,,,1,
2017,CBSCPROFPTU,BSc Professional Practice (Top-up),ENR,1,Part-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,58,Mature,,,1,
2017,CCERMENHE,Certificate of Higher Education in Mental Health,ENR,1,Part-time,Undergraduate,St Andrew's Healthcare,Home/EU,Female,BME,Black or Black British,No Disability,No,57,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,28,Mature,,,1,
2017,PMSCADVPP,MSc Advanced Professional Practice,ENR,1,Part-time,Postgraduate,School of Health,Home/EU,Female,White,White,No Disability,No,36,Mature,,,1,
2017,PMSCADVPP,MSc Advanced Professional Practice,ICAL,1,Part-time,Postgraduate,School of Health,Home/EU,Female,White,White,No Disability,No,44,Mature,,,1,
2017,PMSCADVPP,MSc Advanced Professional Practice,ENR,1,Part-time,Postgraduate,School of Health,Home/EU,Female,White,White,No Disability,No,28,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,"A physical impairment or mobility issues, such as difficulty using arms or using a wheelchair or crutches",Yes,33,Mature,,,1,
2017,PMSCPUBHE,MSc Public Health,ENR,1,Full-time,Postgraduate,School of Health,Home/EU,Male,BME,Black or Black British,No Disability,No,28,Mature,,,1,
2017,CFDSMENHE,FdSc Mental Health,ICAL,2,Part-time,Undergraduate,St Andrew's Healthcare,Home/EU,Male,Not Known,Not Known,No Disability,No,34,Mature,,,1,
2017,CCERMENHE,Certificate of Higher Education in Mental Health,ENR,1,Part-time,Undergraduate,St Andrew's Healthcare,Home/EU,Male,White,White,No Disability,No,39,Mature,,,1,
2017,CBSCMHNUR,BSc Mental Health Nursing,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,29,Mature,,,1,
2017,DDOCPROFP,Doctor of Professional Practice,ENR,1,Blended Learning,Postgraduate,School of Health,Home/EU,Female,White,White,No Disability,No,38,Mature,,,1,
2017,CBSCLDNUR,BSc Learning Disability Nursing,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,27,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Asian or Asian British,No Disability,No,28,Mature,,,1,
2017,CBSCHBIOS,BSc Human Biosciences,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,30,Mature,,,1,
2017,CBSCMHNUR,BSc Mental Health Nursing,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,33,Mature,,,1,
2017,CBSCMENHCTU,BSc Mental Health Care (Top-Up),ICAL,1,Part-time,Undergraduate,St Andrew's Healthcare,Home/EU,Male,White,White,No Disability,No,35,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,30,Mature,,,1,
2017,CBSCLDNUR,BSc Learning Disability Nursing,ENR,1,Part-time,Undergraduate,School of Health,Home/EU,Female,BME,Asian or Asian British,No Disability,No,32,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,WITHD,2,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,"A specific learning difficulty such as dyslexia, dyspraxia or AD(H)D",Yes,33,Mature,Non-return After Intercalation,7-Apr,1,1
2017,CBSCPROFPTU,BSc Professional Practice (Top-up),ENR,1,Part-time,Undergraduate,School of Health,Home/EU,Male,BME,Other,No Disability,No,47,Mature,,,1,
2017,CBSCMIDWF,BSc Midwifery,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,29,Mature,,,1,
2017,NUR3040,Return to Nursing Practice (Level 6),ENR,1,Part-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,50,Mature,,,1,
2017,CBSCMHNUR,BSc Mental Health Nursing,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,45,Mature,,,1,
2017,CBSCPROFPTU,BSc Professional Practice (Top-up),ENR,1,Part-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,26,Mature,,,1,
2017,CBSCOCCTH,BSc Occupational Therapy,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Male,White,White,No Disability,No,36,Mature,,,1,
2017,MID3021,Mentorship Programme Level 6,ENR,1,Part-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,34,Mature,,,1,
2017,DDOCPROFP,Doctor of Professional Practice,ENR,1,Blended Learning,Postgraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,40,Mature,,,1,
2017,PMSCPUBHE,MSc Public Health,ENR,1,Part-time,Postgraduate,School of Health,Home/EU,Female,White,White,No Disability,No,29,Mature,,,1,
2017,SWKM006,"Enabling Others in Mentoring, Practice Teaching and Assessment",ENR,1,Part-time,Postgraduate,School of Health,Home/EU,Female,White,White,No Disability,No,34,Mature,,,1,
2017,CBSCPODIA,BSc Podiatry,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Male,BME,Black or Black British,No Disability,No,48,Mature,,,1,
2017,CBSCMIDWF,BSc Midwifery,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,44,Mature,,,1,
2017,CBAASOCWK,BA Social Work,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,50,Mature,,,1,
2017,MIDM008,Mentorship Programme Level 7,ENR,1,Part-time,Postgraduate,School of Health,Home/EU,Female,White,White,No Disability,No,24,Mature,,,1,
2017,CBSCHBIOS,BSc Human Biosciences,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,28,Mature,,,1,
2017,CCERMENHE,Certificate of Higher Education in Mental Health,ENR,1,Part-time,Undergraduate,St Andrew's Healthcare,Home/EU,Female,White,White,No Disability,No,27,Mature,,,1,
2017,CBSCCHNUR,BSc Children's Nursing,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,"A specific learning difficulty such as dyslexia, dyspraxia or AD(H)D",Yes,29,Mature,,,1,
2017,CBAASOCOD,BA Social & Community Development,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,26,Mature,,,1,
2017,CBSCMHNUR,BSc Mental Health Nursing,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Male,BME,Black or Black British,No Disability,No,34,Mature,,,1,
2017,CBSCOCCTH,BSc Occupational Therapy,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,25,Mature,,,1,
2017,PMSCADPOT,MSc Advanced Professional Practice (Occupational Therapy),ENR,1,Part-time,Postgraduate,School of Health,Home/EU,Male,White,White,No Disability,No,36,Mature,,,1,
2017,PMSCADVOT,MSc Advanced Occupational Therapy,TRANS,1,Part-time,Postgraduate,School of Health,Home/EU,Male,White,White,No Disability,No,36,Mature,,,1,
2017,PMSCPUBHE,MSc Public Health,ENR,1,Full-time,Postgraduate,School of Health,Home/EU,Male,BME,Black or Black British,No Disability,No,34,Mature,,,1,
2017,CBSCMHNUR,BSc Mental Health Nursing,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,36,Mature,,,1,
2017,CBSCPODIA,BSc Podiatry,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,"A mental health condition, such as depression, schizophrenia or anxiety disorder",Yes,29,Mature,,,1,
2017,CBSCCHNUR,BSc Children's Nursing,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,26,Mature,,,1,
2017,MID3021,Mentorship Programme Level 6,ENR,1,Part-time,Undergraduate,School of Health,Home/EU,Female,White,White,"A long standing illness or health condition such as cancer, HIV, diabetes, chronic heart disease, or epilepsy",Yes,59,Mature,,,1,
2017,CBSCMHNUR,BSc Mental Health Nursing,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,39,Mature,,,1,
2017,CFDSPMSCI,FdSc Paramedic Science,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,27,Mature,,,1,
2017,SWKM006,"Enabling Others in Mentoring, Practice Teaching and Assessment",ENR,1,Part-time,Postgraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,38,Mature,,,1,
2017,MIDM008,Mentorship Programme Level 7,ENR,1,Part-time,Postgraduate,School of Health,Home/EU,Female,White,White,No Disability,No,27,Mature,,,1,
2017,MIDM008,Mentorship Programme Level 7,ENR,1,Part-time,Postgraduate,School of Health,Home/EU,Female,White,White,No Disability,No,27,Mature,,,1,
2017,PMSCPUBHE,MSc Public Health,ENR,1,Full-time,Postgraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,42,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,31,Mature,,,1,
2017,CBSCMHNUR,BSc Mental Health Nursing,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Male,White,White,"A long standing illness or health condition such as cancer, HIV, diabetes, chronic heart disease, or epilepsy",Yes,28,Mature,,,1,
2017,MID3021,Mentorship Programme Level 6,ENR,1,Part-time,Undergraduate,School of Health,Home/EU,Female,White,White,"A specific learning difficulty such as dyslexia, dyspraxia or AD(H)D",Yes,27,Mature,,,1,
2017,CBSCPROFPTU,BSc Professional Practice (Top-up),ENR,1,Part-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,27,Mature,,,1,
2017,CBSCLDNUR,BSc Learning Disability Nursing,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Male,White,White,No Disability,No,37,Mature,,,1,
2017,CBSCMIDWF,BSc Midwifery,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,42,Mature,,,1,
2017,CBSCHBIOS,BSc Human Biosciences,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,28,Mature,,,1,
2017,CBSCLDNUR,BSc Learning Disability Nursing,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Asian or Asian British,No Disability,No,30,Mature,,,1,
2017,CCERMENHE,Certificate of Higher Education in Mental Health,ENR,1,Part-time,Undergraduate,St Andrew's Healthcare,Overseas,Female,Not Known,Not Known,No Disability,No,38,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,38,Mature,,,1,
2017,CBSCPROFPTU,BSc Professional Practice (Top-up),ICAL,1,Part-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,28,Mature,,,1,
2017,CBAASOCOD,BA Social & Community Development,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,28,Mature,,,1,
2017,CBAASOCOD,BA Social & Community Development,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,26,Mature,,,1,
2017,CBSCMHNUR,BSc Mental Health Nursing,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,32,Mature,,,1,
2017,PMSCADVPP,MSc Advanced Professional Practice,ENR,1,Part-time,Postgraduate,School of Health,Home/EU,Female,White,White,No Disability,No,48,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,32,Mature,,,1,
2017,CBSCCHNUR,BSc Children's Nursing,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,28,Mature,,,1,
2017,DDOCPROFP,Doctor of Professional Practice,ENR,1,Blended Learning,Postgraduate,School of Health,Home/EU,Female,White,White,No Disability,No,49,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ICAL,1,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,34,Mature,,,1,
2017,MIDM008,Mentorship Programme Level 7,ENR,1,Part-time,Postgraduate,School of Health,Home/EU,Female,White,White,No Disability,No,30,Mature,,,1,
2017,CBSCLDNUR,BSc Learning Disability Nursing,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,"A specific learning difficulty such as dyslexia, dyspraxia or AD(H)D",Yes,37,Mature,,,1,
2017,CBSCMHNUR,BSc Mental Health Nursing,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Male,BME,Black or Black British,No Disability,No,32,Mature,,,1,
2017,MID3021,Mentorship Programme Level 6,ENR,1,Part-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,40,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,26,Mature,,,1,
2017,MID3021,Mentorship Programme Level 6,ENR,1,Part-time,Undergraduate,School of Health,Home/EU,Female,White,White,"A specific learning difficulty such as dyslexia, dyspraxia or AD(H)D",Yes,25,Mature,,,1,
2017,CBSCOCCTH,BSc Occupational Therapy,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,"A specific learning difficulty such as dyslexia, dyspraxia or AD(H)D",Yes,26,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,28,Mature,,,1,
2017,MID3021,Mentorship Programme Level 6,ENR,1,Part-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,26,Mature,,,1,
2017,MID3021,Mentorship Programme Level 6,TRANS,1,Part-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,26,Mature,,,1,
2017,CBSCMHNUR,BSc Mental Health Nursing,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,42,Mature,,,1,
2017,CBSCMHNUR,BSc Mental Health Nursing,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,47,Mature,,,1,
2017,CBSCMHNUR,BSc Mental Health Nursing,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Male,White,White,No Disability,No,33,Mature,,,1,
2017,CBAASOCOD,BA Social & Community Development,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,"A disability, impairment or medical condition that is not listed above",Yes,25,Mature,,,1,
2017,CCERMENHE,Certificate of Higher Education in Mental Health,ENR,1,Part-time,Undergraduate,St Andrew's Healthcare,Home/EU,Female,BME,Black or Black British,No Disability,No,50,Mature,,,1,
2017,MID3021,Mentorship Programme Level 6,ENR,1,Part-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,37,Mature,,,1,
2017,CBSCLDNUR,BSc Learning Disability Nursing,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,36,Mature,,,1,
2017,MIDM008,Mentorship Programme Level 7,ENR,1,Part-time,Postgraduate,School of Health,Home/EU,Male,White,White,"A disability, impairment or medical condition that is not listed above",Yes,28,Mature,,,1,
2017,CBSCOCCTH,BSc Occupational Therapy,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,57,Mature,,,1,
2017,CCERMENHE,Certificate of Higher Education in Mental Health,ENR,1,Part-time,Undergraduate,St Andrew's Healthcare,Home/EU,Female,White,White,No Disability,No,33,Mature,,,1,
2017,CBSCMHNUR,BSc Mental Health Nursing,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Male,BME,Black or Black British,No Disability,No,51,Mature,,,1,
2017,CBSCMHNUR,BSc Mental Health Nursing,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,"A mental health condition, such as depression, schizophrenia or anxiety disorder",Yes,26,Mature,,,1,
2017,CBSCHBIOS,BSc Human Biosciences,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,25,Mature,,,1,
2017,CBSCPODIA,BSc Podiatry,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,"A long standing illness or health condition such as cancer, HIV, diabetes, chronic heart disease, or epilepsy",Yes,43,Mature,,,1,
2017,CBSCLDNUR,BSc Learning Disability Nursing,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,41,Mature,,,1,
2017,CCERMENHE,Certificate of Higher Education in Mental Health,ENR,1,Part-time,Undergraduate,St Andrew's Healthcare,Home/EU,Female,White,White,No Disability,No,32,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,32,Mature,,,1,
2017,PMSCPUBHE,MSc Public Health,ICAL,1,Full-time,Postgraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,36,Mature,,,1,
2017,CBSCPROFPTU,BSc Professional Practice (Top-up),ENR,1,Part-time,Undergraduate,School of Health,Home/EU,Female,White,White,"A specific learning difficulty such as dyslexia, dyspraxia or AD(H)D",Yes,24,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,20,Young,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Male,BME,Black or Black British,No Disability,No,34,Mature,,,1,
2017,CBSCCHNUR,BSc Children's Nursing,ENR,3,Part-time,Undergraduate,School of Health,Home/EU,Female,White,White,Two or more impairments and/or disabling medical conditions,Yes,21,Young,,,1,
2017,PMSCADVPP,MSc Advanced Professional Practice,ENR,1,Part-time,Postgraduate,School of Health,Home/EU,Female,White,White,No Disability,No,34,Mature,,,1,
2017,CBSCOCCTH,BSc Occupational Therapy,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,24,Mature,,,1,
2017,CBSCLDNUR,BSc Learning Disability Nursing,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,26,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,25,Mature,,,1,
2017,CBSCMHNUR,BSc Mental Health Nursing,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,29,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,32,Mature,,,1,
2017,MID3021,Mentorship Programme Level 6,ENR,1,Part-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,50,Mature,,,1,
2017,PMSCADPOT,MSc Advanced Professional Practice (Occupational Therapy),ENR,1,Part-time,Postgraduate,School of Health,Home/EU,Female,White,White,No Disability,No,25,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,26,Mature,,,1,
2017,CBAASOCOD,BA Social & Community Development,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,54,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Mixed,No Disability,No,25,Mature,,,1,
2017,DDOCPROFP,Doctor of Professional Practice,ENR,1,Blended Learning,Postgraduate,School of Health,Home/EU,Male,White,White,No Disability,No,51,Mature,,,1,
2017,CBSCMIDWF,BSc Midwifery,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,"A long standing illness or health condition such as cancer, HIV, diabetes, chronic heart disease, or epilepsy",Yes,28,Mature,,,1,
2017,DDOCPROFP,Doctor of Professional Practice,ENR,1,Blended Learning,Postgraduate,School of Health,Home/EU,Female,White,White,No Disability,No,41,Mature,,,1,
2017,CBAASOCOD,BA Social & Community Development,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,30,Mature,,,1,
2017,CCERMENHE,Certificate of Higher Education in Mental Health,ENR,1,Part-time,Undergraduate,St Andrew's Healthcare,Home/EU,Male,BME,Black or Black British,No Disability,No,50,Mature,,,1,
2017,CBAASOCWK,BA Social Work,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,White,White,"A disability, impairment or medical condition that is not listed above",Yes,24,Mature,,,1,
2017,CBSCADNUR,BSc Adult Nursing,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Male,BME,Black or Black British,No Disability,No,36,Mature,,,1,
2017,CBAASOCWK,BA Social Work,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,40,Mature,,,1,
2017,CBSCLDNUR,BSc Learning Disability Nursing,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Male,BME,Black or Black British,"A long standing illness or health condition such as cancer, HIV, diabetes, chronic heart disease, or epilepsy",Yes,40,Mature,,,1,
2017,PMSCLFHSC,MSc Leadership for Health & Social Care,ICAL,1,Part-time,Postgraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,31,Mature,,,1,
2017,NUR3015P,Nurse Independent and Supplementary Prescribing (NISP) Nursing and Midwifery Council V300 Programme,WITHD,1,Part-time,Undergraduate,School of Health,Home/EU,Female,White,White,No Disability,No,46,Mature,Academic Failure,9/27/2016,1,1
2017,DDOCPROFP,Doctor of Professional Practice,ENR,1,Blended Learning,Postgraduate,School of Health,Overseas,Male,BME,Black or Black British,No Disability,No,30,Mature,,,1,
2017,PMSCPUBHE,MSc Public Health,ENR,1,Part-time,Postgraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,43,Mature,,,1,
2017,CBSCLDNUR,BSc Learning Disability Nursing,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Male,White,White,"A specific learning difficulty such as dyslexia, dyspraxia or AD(H)D",Yes,24,Mature,,,1,
2017,CBAASOCWK,BA Social Work,ENR,2,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,36,Mature,,,1,
2017,CBSCLDNUR,BSc Learning Disability Nursing,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,42,Mature,,,1,
2017,MIDM008,Mentorship Programme Level 7,ENR,1,Part-time,Postgraduate,School of Health,Home/EU,Male,BME,Black or Black British,No Disability,No,51,Mature,,,1,
2017,CBSCCHNUR,BSc Children's Nursing,ENR,1,Full-time,Undergraduate,School of Health,Home/EU,Male,BME,Asian or Asian British,No Disability,No,26,Mature,,,1,
2017,PMSCPUBHE,MSc Public Health,ENR,1,Part-time,Postgraduate,School of Health,Home/EU,Male,BME,Black or Black British,No Disability,No,29,Mature,,,1,
2017,CBAASOCWK,BA Social Work,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Female,BME,Black or Black British,No Disability,No,35,Mature,,,1,
2017,CBSCMHNUR,BSc Mental Health Nursing,ENR,3,Full-time,Undergraduate,School of Health,Home/EU,Male,White,White,No Disability,No,48,Mature,,,1,
